               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   8,            0.035523,           0.0094722,          0.00088178,             0.84481,             0.83758,             0.88994,              0.5938,            0.029178,           0.0076096,          0.00036424,            0.009769,            0.009769,            0.009769
                   9,            0.035317,           0.0095019,          0.00095702,             0.86811,             0.83606,              0.8935,             0.59924,            0.028676,           0.0074788,          0.00035902,            0.009736,            0.009736,            0.009736
                  10,            0.034934,           0.0094035,           0.0008371,             0.87795,             0.84438,             0.90895,             0.61532,            0.027662,           0.0071946,          0.00029453,            0.009703,            0.009703,            0.009703
                  11,            0.034777,           0.0094132,          0.00090684,             0.86521,             0.84993,             0.90664,             0.61999,            0.027509,           0.0071429,            0.000416,             0.00967,             0.00967,             0.00967
                  12,            0.034837,           0.0094673,          0.00085906,             0.89905,             0.82994,             0.91042,             0.62532,            0.027025,           0.0070232,          0.00025467,            0.009637,            0.009637,            0.009637
                  13,            0.034349,           0.0093534,          0.00089728,              0.8674,              0.8706,             0.91367,             0.63145,            0.026737,            0.006979,           0.0003559,            0.009604,            0.009604,            0.009604
                  14,            0.034543,           0.0093428,           0.0008815,             0.89364,             0.84697,             0.91801,             0.64029,              0.0264,            0.006845,          0.00035763,            0.009571,            0.009571,            0.009571
                  15,            0.033868,           0.0092112,          0.00097569,             0.86901,             0.88187,             0.92141,             0.64897,            0.025902,           0.0067652,          0.00026861,            0.009538,            0.009538,            0.009538
                  16,            0.034201,           0.0092881,          0.00094705,              0.8814,             0.86267,             0.92264,             0.65035,            0.025672,           0.0067172,          0.00027415,            0.009505,            0.009505,            0.009505
                  17,            0.034007,           0.0091803,          0.00080668,             0.88953,             0.86231,             0.92535,              0.6543,             0.02557,           0.0066549,          0.00028632,            0.009472,            0.009472,            0.009472
                  18,            0.033822,           0.0092301,          0.00090561,             0.88239,             0.87999,             0.92874,             0.66181,            0.025097,            0.006599,          0.00026997,            0.009439,            0.009439,            0.009439
                  19,            0.033786,           0.0091219,          0.00085584,             0.86733,             0.89034,             0.93006,             0.66267,            0.025003,           0.0065478,          0.00027803,            0.009406,            0.009406,            0.009406
                  20,            0.033455,           0.0091018,          0.00081735,             0.90015,             0.86815,             0.93148,             0.66588,             0.02471,           0.0064953,          0.00026256,            0.009373,            0.009373,            0.009373
                  21,            0.033487,           0.0091197,          0.00084054,             0.90518,             0.86213,             0.93234,             0.66753,            0.024847,            0.006485,          0.00025569,             0.00934,             0.00934,             0.00934
                  22,            0.033437,           0.0089619,           0.0008149,             0.89078,             0.87763,              0.9325,             0.67362,            0.024648,           0.0064596,          0.00026369,            0.009307,            0.009307,            0.009307
                  23,            0.033752,           0.0090278,          0.00079824,             0.89148,             0.88035,             0.93299,             0.67739,            0.024519,           0.0064317,          0.00025934,            0.009274,            0.009274,            0.009274
                  24,            0.033185,           0.0089477,          0.00080908,             0.88575,             0.88514,              0.9332,             0.67683,            0.024465,           0.0063965,          0.00026456,            0.009241,            0.009241,            0.009241
                  25,            0.033165,           0.0089881,          0.00075642,             0.90657,             0.86139,             0.93344,             0.67782,            0.024351,            0.006354,          0.00025384,            0.009208,            0.009208,            0.009208
                  26,            0.033031,           0.0090063,          0.00077939,             0.90727,             0.86475,             0.93665,             0.67973,             0.02428,           0.0063305,          0.00025652,            0.009175,            0.009175,            0.009175
                  27,            0.033089,           0.0089271,          0.00078741,             0.88602,             0.89276,             0.93704,             0.68087,            0.024171,           0.0063144,          0.00025806,            0.009142,            0.009142,            0.009142
                  28,            0.032867,           0.0089662,          0.00081098,              0.8887,             0.88631,              0.9361,              0.6824,            0.024093,           0.0063043,          0.00025457,            0.009109,            0.009109,            0.009109
                  29,            0.032566,           0.0088728,          0.00085575,              0.8934,             0.88322,             0.93706,             0.68389,            0.024003,           0.0062982,           0.0002502,            0.009076,            0.009076,            0.009076
                  30,            0.032414,           0.0087948,          0.00073304,             0.89798,              0.8807,             0.93646,             0.68568,            0.023932,           0.0062871,          0.00024916,            0.009043,            0.009043,            0.009043
                  31,            0.032557,           0.0088512,          0.00076235,             0.89927,             0.87664,             0.93592,             0.68695,            0.023874,           0.0062779,          0.00024821,             0.00901,             0.00901,             0.00901
                  32,            0.032622,           0.0090015,          0.00076927,             0.90383,             0.87044,             0.93606,             0.68758,            0.023828,           0.0062746,          0.00024653,            0.008977,            0.008977,            0.008977
                  33,            0.032676,           0.0088394,          0.00083928,              0.9035,              0.8704,             0.93671,             0.68885,            0.023768,           0.0062625,          0.00024519,            0.008944,            0.008944,            0.008944
                  34,            0.032576,           0.0088485,          0.00074993,             0.92077,             0.85077,              0.9363,             0.68908,            0.023717,           0.0062571,          0.00024456,            0.008911,            0.008911,            0.008911
